,Station,latitude,longitude,html
88,NIEM,35.624043,-97.874341,http://wichita.ogs.ou.edu/eq/heliplot/NIEM.png
89,NOKA,36.63468,-98.93193,http://wichita.ogs.ou.edu/eq/heliplot/NOKA.png
90,OKAR,35.724116,-98.122465,http://wichita.ogs.ou.edu/eq/heliplot/OKAR.png
91,OWEN,35.595985,-97.755671,http://wichita.ogs.ou.edu/eq/heliplot/OWEN.png
92,PERY,36.26001,-97.235063,http://wichita.ogs.ou.edu/eq/heliplot/PERY.png
93,PW01,36.401833,-96.929266,http://wichita.ogs.ou.edu/eq/heliplot/PW01.png
94,PW10,36.36557,-96.83104,http://wichita.ogs.ou.edu/eq/heliplot/PW10.png
95,PW13,36.328488,-96.817845,http://wichita.ogs.ou.edu/eq/heliplot/PW13.png
96,PW17,36.245381,-96.7002,http://wichita.ogs.ou.edu/eq/heliplot/PW17.png
97,PW18,36.278995,-97.044228,http://wichita.ogs.ou.edu/eq/heliplot/PW18.png
98,PW21,36.368846,-96.777113,http://wichita.ogs.ou.edu/eq/heliplot/PW21.png
99,PW30,36.416916,-96.821733,http://wichita.ogs.ou.edu/eq/heliplot/PW30.png
100,QUIN,35.2021,-95.4692,http://wichita.ogs.ou.edu/eq/heliplot/QUIN.png
101,QUOK,36.171423,-96.707911,http://wichita.ogs.ou.edu/eq/heliplot/QUOK.png
102,RICK,35.99671,-98.47475,http://wichita.ogs.ou.edu/eq/heliplot/RICK.png
103,RLO2,36.168056,-95.0275,http://wichita.ogs.ou.edu/eq/heliplot/RLO2.png
104,ROFF,34.665253,-96.85433,http://wichita.ogs.ou.edu/eq/heliplot/ROFF.png
105,ROSS,36.947236,-99.866688,http://wichita.ogs.ou.edu/eq/heliplot/ROSS.png
106,ROYM,35.612176,-98.01279,http://wichita.ogs.ou.edu/eq/heliplot/ROYM.png
107,SAND,36.057605,-96.249926,http://wichita.ogs.ou.edu/eq/heliplot/SAND.png
108,SAYRE,35.411686,-99.705453,http://wichita.ogs.ou.edu/eq/heliplot/SAYRE.png
109,SC01,35.18467,-97.820268,http://wichita.ogs.ou.edu/eq/heliplot/SC01.png
110,SC02,34.797728,-97.38899,http://wichita.ogs.ou.edu/eq/heliplot/SC02.png
111,SC03,34.940115,-97.848971,http://wichita.ogs.ou.edu/eq/heliplot/SC03.png
112,SC07,34.933706,-98.214031,http://wichita.ogs.ou.edu/eq/heliplot/SC07.png
113,SC08,34.687273,-96.393077,http://wichita.ogs.ou.edu/eq/heliplot/SC08.png
114,SC11,35.182585,-98.740646,http://wichita.ogs.ou.edu/eq/heliplot/SC11.png
115,SC19,36.220151,-97.843067,http://wichita.ogs.ou.edu/eq/heliplot/SC19.png
116,SC20,35.4027,-98.4409,http://wichita.ogs.ou.edu/eq/heliplot/SC20.png
117,SHAW,35.281133,-96.842048,http://wichita.ogs.ou.edu/eq/heliplot/SHAW.png
118,SMNL,35.29415,-96.56492,http://wichita.ogs.ou.edu/eq/heliplot/SMNL.png
119,SMO,35.523142,-97.474662,http://wichita.ogs.ou.edu/eq/heliplot/SMO.png
120,SPEN,34.119171,-95.317193,http://wichita.ogs.ou.edu/eq/heliplot/SPEN.png
121,SPLD,35.030903,-96.430798,http://wichita.ogs.ou.edu/eq/heliplot/SPLD.png
122,SPRA,35.709986,-97.606371,http://wichita.ogs.ou.edu/eq/heliplot/SPRA.png
123,STIG,35.3406,-95.1056,http://wichita.ogs.ou.edu/eq/heliplot/STIG.png
124,STRB,35.863341,-97.251549,http://wichita.ogs.ou.edu/eq/heliplot/STRB.png
125,SWTZ,35.63373,-98.155505,http://wichita.ogs.ou.edu/eq/heliplot/SWTZ.png
126,TASC,35.518,-96.750436,http://wichita.ogs.ou.edu/eq/heliplot/TASC.png
127,TG11,35.269013,-97.814551,http://wichita.ogs.ou.edu/eq/heliplot/TG11.png
128,TISH,34.44016,-96.5436,http://wichita.ogs.ou.edu/eq/heliplot/TISH.png
129,TUTL,35.317891,-97.768146,http://wichita.ogs.ou.edu/eq/heliplot/TUTL.png
130,U32A,36.3795,-99.0014,http://wichita.ogs.ou.edu/eq/heliplot/U32A.png
131,VIAN,35.620263,-95.022125,http://wichita.ogs.ou.edu/eq/heliplot/VIAN.png
132,W35A,35.15274,-96.87453,http://wichita.ogs.ou.edu/eq/heliplot/W35A.png
133,WADE,34.148858,-97.61923,http://wichita.ogs.ou.edu/eq/heliplot/WADE.png
134,WELL,35.792833,-97.062435,http://wichita.ogs.ou.edu/eq/heliplot/WELL.png
135,WILZ,35.536111,-96.737778,http://wichita.ogs.ou.edu/eq/heliplot/WILZ.png
136,WINA,35.335403,-97.921441,http://wichita.ogs.ou.edu/eq/heliplot/WINA.png
137,WLB2,34.946194,-95.387417,http://wichita.ogs.ou.edu/eq/heliplot/WLB2.png
138,X34A,34.60102,-97.83256,http://wichita.ogs.ou.edu/eq/heliplot/X34A.png
139,X37A,34.5892,-95.3713,http://wichita.ogs.ou.edu/eq/heliplot/X37A.png
